split,class_id,label,url,start_time,end_time,duration,signer_id,fps,width,height,box
train,0,hello,https://www.youtube.com/watch?v=9jUuFHB2m4M,3.67,5.005,1.335,1,29.97,640.0,360.0,"[0.0, 0.12939035892486572, 1.0, 1.0]"
train,2,how_are_you,https://www.youtube.com/watch?v=iczlM1Oqi0Q,32.833,35.836,3.003,88,29.97,640.0,360.0,"[0.13092553615570068, 0.12022629380226135, 1.0, 0.8874733448028564]"
train,2,how_are_you,https://www.youtube.com/watch?v=iczlM1Oqi0Q,35.836,39.439,3.603,88,29.97,640.0,360.0,"[0.13092553615570068, 0.12022629380226135, 1.0, 0.8874733448028564]"
train,2,how_are_you,https://www.youtube.com/watch?v=iczlM1Oqi0Q,39.439,43.61,4.171,88,29.97,640.0,360.0,"[0.13092553615570068, 0.12022629380226135, 1.0, 0.8874733448028564]"
train,2,how_are_you,https://www.youtube.com/watch?v=iczlM1Oqi0Q,43.81,46.48,2.67,88,29.97,640.0,360.0,"[0.13092553615570068, 0.12022629380226135, 1.0, 0.8874733448028564]"
train,4,today,https://www.youtube.com/watch?v=nnzMNmnCIiU,0.0,4.72,4.72,14,25.0,640.0,360.0,"[0.07987236976623535, 0.2765128016471863, 1.0, 0.7243814468383789]"
train,3,you,https://www.youtube.com/watch?v=Pw-wu8Y21bQ,1.001,2.669,1.668,1,29.97,640.0,360.0,"[0.00499233603477478, 0.1921011507511139, 1.0, 0.9994487762451172]"
train,3,you,https://www.youtube.com/watch?v=Pw-wu8Y21bQ,4.004,5.339,1.335,1,29.97,640.0,360.0,"[0.00499233603477478, 0.1921011507511139, 1.0, 0.9994487762451172]"
train,3,you,https://www.youtube.com/watch?v=lSxAVvE9sPc,239.973,246.213,6.24,22,29.97,640.0,360.0,"[0.16426101326942444, 0.388248085975647, 1.0, 0.842430591583252]"
train,3,you,https://www.youtube.com/watch?v=mCjHYreiZ24,157.357,162.329,4.972,32,29.97,480.0,360.0,"[0.13766968250274658, 0.1284114122390747, 0.8891069293022156, 0.7309703230857849]"
train,4,today,https://www.youtube.com/watch?v=xKAgM2pSEDU,0.0,1.668,1.668,36,29.97,480.0,360.0,"[0.04718324542045593, 0.16842108964920044, 1.0, 0.8577985167503357]"
train,4,today,https://www.youtube.com/watch?v=xKAgM2pSEDU,2.002,3.604,1.602,36,29.97,480.0,360.0,"[0.04718324542045593, 0.16842108964920044, 1.0, 0.8577985167503357]"
train,4,today,https://www.youtube.com/watch?v=xKAgM2pSEDU,8.942,11.612,2.67,36,29.97,480.0,360.0,"[0.04718324542045593, 0.16842108964920044, 1.0, 0.8577985167503357]"
train,0,hello,https://www.youtube.com/watch?v=3zoqSvF0Z2A,220.267,222.5,2.233,177,30.0,568.0,320.0,"[0.0, 0.2691527009010315, 1.0, 0.8218994140625]"
train,3,you,https://www.youtube.com/watch?v=K9m1pAFMqyw,0.0,2.837,2.837,0,29.965,640.0,360.0,"[0.07330557703971863, 0.2808785140514374, 1.0, 0.7480975389480591]"
train,1,how,https://www.youtube.com/watch?v=nr_nzuTAskc,0.0,5.744,5.744,2,20.021,640.0,360.0,"[0.0, 0.20048370957374573, 1.0, 0.8377376198768616]"
train,1,how,https://www.youtube.com/watch?v=dRe3xp66NPo,1.001,4.671,3.67,1,29.97,640.0,360.0,"[0.0, 0.16580170392990112, 1.0, 1.0]"
train,1,how,https://www.youtube.com/watch?v=dRe3xp66NPo,5.672,10.344,4.672,1,29.97,640.0,360.0,"[0.0, 0.16580170392990112, 1.0, 1.0]"
train,1,how,https://www.youtube.com/watch?v=fnhiGz4qE_I,17.251,18.785,1.534,40,29.97,640.0,360.0,"[0.17573201656341553, 0.18412455916404724, 1.0, 0.8309750556945801]"
train,1,how,https://www.youtube.com/watch?v=fnhiGz4qE_I,19.153,20.721,1.568,40,29.97,640.0,360.0,"[0.17259874939918518, 0.21483561396598816, 1.0, 0.7799841165542603]"
train,1,how,https://www.youtube.com/watch?v=fnhiGz4qE_I,21.255,22.89,1.635,40,29.97,640.0,360.0,"[0.16782307624816895, 0.20011195540428162, 1.0, 0.7781856656074524]"
train,1,how,https://www.youtube.com/watch?v=p36hZJQpLoQ,56.924,58.825,1.901,214,29.97,1280.0,720.0,"[0.010100334882736206, 0.3646204471588135, 1.0, 0.7201673984527588]"
train,0,hello,https://www.youtube.com/watch?v=p36hZJQpLoQ,93.06,94.795,1.735,214,29.97,1280.0,720.0,"[0.0026202797889709473, 0.3629840612411499, 1.0, 0.7187871932983398]"
train,3,you,https://www.youtube.com/watch?v=l7ov0EX_914,0.0,1.64,1.64,0,25.0,480.0,360.0,"[0.03431081771850586, 0.21160531044006348, 0.9956108331680298, 0.8703536987304688]"
train,0,hello,https://www.youtube.com/watch?v=QB44Vddoi-w,0.0,1.96,1.96,226,25.0,640.0,360.0,"[0.0, 0.22899192571640015, 1.0, 0.8626351356506348]"
train,4,today,https://www.youtube.com/watch?v=TnJQtTYVTtg&t=242s,859.359,862.695,3.336,98,29.97,960.0,720.0,"[0.13016653060913086, 0.20179975032806396, 0.8981287479400635, 0.814152181148529]"
train,1,how,https://www.youtube.com/watch?v=TnJQtTYVTtg&t=242s,1051.117,1056.455,5.338,98,29.97,960.0,720.0,"[0.12804493308067322, 0.17394787073135376, 0.8968111276626587, 0.8625598549842834]"
train,0,hello,https://www.youtube.com/watch?v=dbzKXsyAcvY,1.585,3.42,1.835,339,23.976,640.0,360.0,"[0.12229815125465393, 0.23621457815170288, 0.9264011979103088, 0.6840234398841858]"
train,4,today,https://www.youtube.com/watch?v=dbzKXsyAcvY,210.919,213.839,2.92,339,23.976,640.0,360.0,"[0.11361494660377502, 0.3078673779964447, 0.886197030544281, 0.6890918016433716]"
train,1,how,https://www.youtube.com/watch?v=awmySeWaTkk,0.0,2.502,2.502,0,29.97,1280.0,720.0,"[0.0, 0.1899702548980713, 1.0, 0.7476182579994202]"
train,1,how,https://www.youtube.com/watch?v=IdzjPPfIl44,192.933,194.533,1.6,230,30.0,320.0,240.0,"[0.15500900149345398, 0.10463351011276245, 0.9312713146209717, 0.9081733226776123]"
train,1,how,https://www.youtube.com/watch?v=IdzjPPfIl44,194.767,197.367,2.6,230,30.0,320.0,240.0,"[0.15500900149345398, 0.10463351011276245, 0.9312713146209717, 0.9081733226776123]"
train,4,today,https://www.youtube.com/watch?v=A5tZKVJ195U,0.0,4.071,4.071,62,29.97,640.0,360.0,"[0.0, 0.024300068616867065, 1.0, 0.697812557220459]"
train,4,today,https://www.youtube.com/watch?v=eMZdggjnLQA,49.016,51.018,2.002,24,29.97,1280.0,720.0,"[0.0643281638622284, 0.3247990012168884, 1.0, 0.9003819227218628]"
train,4,today,https://www.youtube.com/watch?v=eMZdggjnLQA,51.685,55.322,3.637,24,29.97,1280.0,720.0,"[0.0643281638622284, 0.3247990012168884, 1.0, 0.9003819227218628]"
train,1,how,https://www.youtube.com/watch?v=-LB4ENHxcIs,16.884,18.986,2.102,233,29.97,640.0,360.0,"[0.0, 0.13463476300239563, 1.0, 0.8823933601379395]"
train,1,how,https://www.youtube.com/watch?v=iMUjcZCLaGo,252.233,255.433,3.2,74,30.0,1280.0,720.0,"[0.09367808699607849, 0.26850426197052, 1.0, 0.7511752843856812]"
train,4,today,https://www.youtube.com/watch?v=iMUjcZCLaGo,506.067,507.9,1.833,74,30.0,1280.0,720.0,"[0.0, 0.258563369512558, 1.0, 0.8354395031929016]"
train,3,you,https://www.youtube.com/watch?v=iMUjcZCLaGo,593.333,598.7,5.367,74,30.0,1280.0,720.0,"[0.0, 0.25378644466400146, 1.0, 0.7816612124443054]"
train,0,hello,https://www.youtube.com/watch?v=7iuyJ84wvds,0.0,1.8,1.8,152,25.0,480.0,272.0,"[0.09717109799385071, 0.1598794162273407, 1.0, 0.5547109842300415]"
train,1,how,https://www.youtube.com/watch?v=rnr_aY0X0dQ,283.767,284.933,1.166,312,30.0,640.0,360.0,"[0.0, 0.30721724033355713, 1.0, 0.9640660881996155]"
train,1,how,https://www.youtube.com/watch?v=rnr_aY0X0dQ,286.3,287.567,1.267,312,30.0,640.0,360.0,"[0.0, 0.30721724033355713, 1.0, 0.9640660881996155]"
train,2,how_are_you,https://www.youtube.com/watch?v=rnr_aY0X0dQ,294.233,296.233,2.0,312,30.0,640.0,360.0,"[0.0, 0.2865588963031769, 1.0, 0.9546682834625244]"
train,2,how_are_you,https://www.youtube.com/watch?v=rnr_aY0X0dQ,296.567,297.9,1.333,312,30.0,640.0,360.0,"[0.0, 0.2865588963031769, 1.0, 0.9546682834625244]"
train,3,you,https://www.youtube.com/watch?v=rnr_aY0X0dQ,591.667,596.967,5.3,312,30.0,640.0,360.0,"[0.0, 0.397165447473526, 1.0, 0.9315610527992249]"
train,1,how,www.youtube.com/watch?v=fDZRiFwsN4g,0.0,3.904,3.904,27,29.97,640.0,360.0,"[0.025808870792388916, 0.1907113492488861, 1.0, 0.696713387966156]"
train,0,hello,https://www.youtube.com/watch?v=p8OYydc3WQM,10.277,14.715,4.438,262,29.97,640.0,360.0,"[0.07787403464317322, 0.1531141698360443, 1.0, 0.8314121961593628]"
train,3,you,https://www.youtube.com/watch?v=p8OYydc3WQM,19.92,23.323,3.403,262,29.97,640.0,360.0,"[0.08314317464828491, 0.16002020239830017, 1.0, 0.7795536518096924]"
train,4,today,https://www.youtube.com/watch?v=SC9lyDxbwUE,98.298,102.269,3.971,18,29.97,640.0,360.0,"[0.01538267731666565, 0.16759999096393585, 1.0, 0.8253624439239502]"
train,1,how,https://www.youtube.com/watch?v=rWIDL_GpaJc&t=3s,33.965,40.338,6.373,274,29.972,1280.0,720.0,"[0.06785482168197632, 0.28484225273132324, 1.0, 0.7532346844673157]"
train,3,you,https://www.youtube.com/watch?v=MDQQ9WZNwcc,113.613,114.681,1.068,126,29.97,640.0,360.0,"[0.0, 0.25953409075737, 1.0, 0.8249962329864502]"
train,1,how,https://www.youtube.com/watch?v=MDQQ9WZNwcc,255.989,256.89,0.901,126,29.97,640.0,360.0,"[0.0, 0.2579682767391205, 1.0, 0.8414285182952881]"
train,1,how,https://www.youtube.com/watch?v=MDQQ9WZNwcc,257.324,262.262,4.938,126,29.97,640.0,360.0,"[0.0, 0.13460269570350647, 1.0, 0.9717559814453125]"
train,2,how_are_you,https://www.youtube.com/watch?v=R5qMwnn0EaA,0.0,7.123,7.123,2,17.127,640.0,360.0,"[0.0, 0.20379692316055298, 1.0, 0.8102426528930664]"
train,0,hello,https://www.youtube.com/watch?v=wRoGQu75wzw,4.771,6.84,2.069,24,29.97,1280.0,720.0,"[0.06154724955558777, 0.2889360785484314, 1.0, 0.8439309597015381]"
train,0,hello,https://www.youtube.com/watch?v=wRoGQu75wzw,7.241,9.843,2.602,24,29.97,1280.0,720.0,"[0.06307610869407654, 0.2931211590766907, 1.0, 0.8449479341506958]"
train,1,how,https://www.youtube.com/watch?v=oTQILDPfWFQ,0.0,1.667,1.667,0,30.0,320.0,240.0,"[0.04141956567764282, 0.21069371700286865, 0.9969521164894104, 0.888674259185791]"
train,0,hello,https://www.youtube.com/watch?v=sEjaTTIdHhk,7.841,12.412,4.571,24,29.97,1280.0,720.0,"[0.02390196919441223, 0.002103447914123535, 1.0, 0.6595315933227539]"
train,2,how_are_you,https://www.youtube.com/watch?v=sEjaTTIdHhk,25.959,27.294,1.335,24,29.97,1280.0,720.0,"[0.01643770933151245, 0.02480900287628174, 1.0, 0.6938261985778809]"
train,2,how_are_you,https://www.youtube.com/watch?v=sEjaTTIdHhk,28.695,32.366,3.671,24,29.97,1280.0,720.0,"[0.01643770933151245, 0.02480900287628174, 1.0, 0.6938261985778809]"
train,3,you,https://www.youtube.com/watch?v=DOZJOFHs75s,5.105,8.709,3.604,95,29.97,480.0,360.0,"[0.03443309664726257, 0.30778172612190247, 0.9983255863189697, 0.7811955809593201]"
train,1,how,https://www.youtube.com/watch?v=DOZJOFHs75s,75.976,79.046,3.07,95,29.97,480.0,360.0,"[0.026820659637451172, 0.2726326882839203, 0.9983091950416565, 0.7302319407463074]"
train,2,how_are_you,https://www.youtube.com/watch?v=DOZJOFHs75s,132.699,137.938,5.239,95,29.97,480.0,360.0,"[0.023607343435287476, 0.27637001872062683, 0.9828184843063354, 0.7522733211517334]"
train,3,you,https://www.youtube.com/watch?v=1RjPFNyJ4Tw,226.026,228.895,2.869,303,29.97,1280.0,720.0,"[0.060738950967788696, 0.2774520516395569, 0.9980602264404297, 0.703834056854248]"
train,4,today,https://www.youtube.com/watch?v=mD4_vQQ7-QI,0.0,4.12,4.12,0,25.0,480.0,360.0,"[0.039919644594192505, 0.15285935997962952, 0.9973775148391724, 0.9253273010253906]"
train,1,how,https://www.youtube.com/watch?v=CSj7IScvZnE,168.702,172.472,3.77,72,29.97,626.0,360.0,"[0.15161746740341187, 0.22556465864181519, 0.9967041611671448, 0.6299116611480713]"
train,3,you,https://www.youtube.com/watch?v=75BkNdtDsoQ,23.08,29.08,6.0,77,25.0,640.0,360.0,"[0.05095112323760986, 0.36506322026252747, 1.0, 0.7923703789710999]"
train,3,you,https://www.youtube.com/watch?v=75BkNdtDsoQ,59.84,62.24,2.4,77,25.0,640.0,360.0,"[0.05348512530326843, 0.2948133945465088, 1.0, 0.7961149215698242]"
train,3,you,https://www.youtube.com/watch?v=75BkNdtDsoQ,62.24,66.24,4.0,77,25.0,640.0,360.0,"[0.05348512530326843, 0.2948133945465088, 1.0, 0.7961149215698242]"
train,0,hello,https://www.youtube.com/watch?v=75BkNdtDsoQ,391.84,399.8,7.96,77,25.0,640.0,360.0,"[0.07018592953681946, 0.24879974126815796, 1.0, 0.8007542490959167]"
train,4,today,https://www.youtube.com/watch?v=BrN6Ifx7l0k,0.0,5.98,5.98,2,29.6,640.0,360.0,"[0.0, 0.2598375380039215, 1.0, 0.8226053714752197]"
train,4,today,https://www.youtube.com/watch?v=h-Uwu1UnfJE,0.0,2.336,2.336,1,29.97,640.0,360.0,"[0.0, 0.14533746242523193, 1.0, 1.0]"
train,4,today,https://www.youtube.com/watch?v=h-Uwu1UnfJE,3.337,6.006,2.669,1,29.97,640.0,360.0,"[0.0, 0.14533746242523193, 1.0, 1.0]"
train,2,how_are_you,https://www.youtube.com/watch?v=V7WEPn3RJsc,110.944,113.989,3.045,339,23.976,640.0,360.0,"[0.11837911605834961, 0.2839377224445343, 0.8907991051673889, 0.6709055304527283]"
train,1,how,https://www.youtube.com/watch?v=V7WEPn3RJsc,161.119,163.08,1.961,339,23.976,640.0,360.0,"[0.11970701813697815, 0.3236815929412842, 0.8797788619995117, 0.6610932946205139]"
train,3,you,https://www.youtube.com/watch?v=ZHUVt5W8UEk,29.696,31.698,2.002,349,29.97,640.0,360.0,"[0.12986740469932556, 0.2001255750656128, 1.0, 0.81689453125]"
train,0,hello,https://www.youtube.com/watch?v=FbBdHdmt5oI,0.0,4.085,4.085,2,17.134,640.0,360.0,"[0.0, 0.10837215185165405, 0.9998147487640381, 0.840895414352417]"
train,0,hello,https://www.youtube.com/watch?v=97WDRBCtj0o,0.0,4.771,4.771,243,28.922,406.0,720.0,"[0.0, 0.0, 1.0, 1.0]"
train,3,you,https://www.youtube.com/watch?v=FKp2hBhdj9k,7.608,9.309,1.701,286,29.97,1280.0,720.0,"[0.19375666975975037, 0.4240785837173462, 1.0, 0.6619961857795715]"
train,0,hello,https://www.youtube.com/watch?v=uPKOwziViaw,292.025,294.761,2.736,124,29.97,1280.0,720.0,"[0.0009284615516662598, 0.017256885766983032, 1.0, 0.9219068288803101]"
train,3,you,https://www.youtube.com/watch?v=uPKOwziViaw,610.51,613.179,2.669,124,29.97,1280.0,720.0,"[0.0, 0.06728985905647278, 0.9986119270324707, 0.8953737616539001]"
train,3,you,https://www.youtube.com/watch?v=uPKOwziViaw,614.414,615.582,1.168,124,29.97,1280.0,720.0,"[0.0, 0.08928501605987549, 1.0, 0.9139317274093628]"
train,0,hello,https://www.youtube.com/watch?v=JHFExZgYdwk&t=4s,10.08,14.96,4.88,12,25.0,1280.0,720.0,"[0.1712965965270996, 0.15947796404361725, 1.0, 0.7072262763977051]"
train,4,today,https://www.youtube.com/watch?v=JHFExZgYdwk&t=4s,208.4,210.8,2.4,12,25.0,1280.0,720.0,"[0.17408037185668945, 0.3118080496788025, 1.0, 0.712863028049469]"
train,3,you,https://www.youtube.com/watch?v=Ag5VPvAe8PA,28.729,32.266,3.537,18,29.97,640.0,360.0,"[0.0461602509021759, 0.24959741532802582, 1.0, 0.674713671207428]"
train,1,how,https://www.youtube.com/watch?v=Ag5VPvAe8PA,260.16,263.764,3.604,18,29.97,640.0,360.0,"[0.06258699297904968, 0.3304571509361267, 1.0, 0.6885784268379211]"
train,0,hello,https://www.youtube.com/watch?v=gU5EI_ZTzxw,11.578,12.713,1.135,330,29.97,480.0,360.0,"[0.1469198763370514, 0.1572178304195404, 0.8716475963592529, 0.8532528877258301]"
train,0,hello,https://www.youtube.com/watch?v=RRzbB2rg4VM,0.0,2.269,2.269,96,29.97,636.0,360.0,"[0.0, 0.1716342568397522, 1.0, 0.7704878449440002]"
train,4,today,https://www.youtube.com/watch?v=6jjPIk3O0q4,232.499,237.471,4.972,32,29.97,640.0,360.0,"[0.04040965437889099, 0.2963019013404846, 1.0, 0.7713084816932678]"
train,3,you,https://www.youtube.com/watch?v=N_diLpBj6T4,0.0,5.033,5.033,2,19.867,640.0,360.0,"[0.0005643069744110107, 0.22001397609710693, 1.0, 0.7786241173744202]"
train,3,you,https://www.youtube.com/watch?v=QBwuhvz8LAk,14.67,16.637,1.967,243,28.971,406.0,720.0,"[0.0, 0.002491295337677002, 1.0, 0.9969666600227356]"
train,3,you,https://www.youtube.com/watch?v=xaHll2DRUkg,126.954,127.891,0.937,390,29.877,568.0,320.0,"[0.1032918393611908, 0.3152559697628021, 0.9986444115638733, 0.7003583908081055]"
train,3,you,https://www.youtube.com/watch?v=xaHll2DRUkg,129.163,130.903,1.74,390,29.877,568.0,320.0,"[0.10837602615356445, 0.3158721625804901, 0.9997150897979736, 0.7022323608398438]"
train,2,how_are_you,https://www.youtube.com/watch?v=o6vCj-5MseI,0.0,3.904,3.904,27,29.97,640.0,360.0,"[0.018835097551345825, 0.22041471302509308, 1.0, 0.7379571795463562]"
train,3,you,www.youtube.com/watch?v=qC83X1nR5-I,0.0,3.042,3.042,38,29.917,480.0,270.0,"[0.029674112796783447, 0.2614232897758484, 1.0, 0.6863252520561218]"
train,3,you,https://www.youtube.com/watch?v=9RE2NLd_Sgw,100.133,105.272,5.139,94,29.97,1280.0,720.0,"[0.16033875942230225, 0.22629164159297943, 1.0, 0.6215508580207825]"
train,0,hello,https://www.youtube.com/watch?v=WxY7E9P46DM,0.0,4.656,4.656,394,28.78,1080.0,720.0,"[0.00887635350227356, 0.0, 1.0, 0.8327013254165649]"
train,2,how_are_you,https://www.youtube.com/watch?v=WxY7E9P46DM,17.894,23.211,5.317,394,28.78,1080.0,720.0,"[0.025810420513153076, 0.08470705151557922, 0.999514102935791, 0.9172208905220032]"
train,0,hello,https://www.youtube.com/watch?v=Eq6SnaimpzQ,134.701,137.337,2.636,399,29.97,640.0,360.0,"[0.003834277391433716, 0.25931423902511597, 1.0, 0.7612641453742981]"
train,2,how_are_you,https://www.youtube.com/watch?v=Eq6SnaimpzQ,349.983,353.253,3.27,399,29.97,640.0,360.0,"[0.0, 0.29653483629226685, 0.9997591972351074, 0.7695462703704834]"
train,3,you,https://www.youtube.com/watch?v=25ymRY7hbjs,15.148,17.818,2.67,72,29.97,626.0,360.0,"[0.13980558514595032, 0.2848406434059143, 0.9996925592422485, 0.6422157883644104]"
train,0,hello,https://www.youtube.com/watch?v=25ymRY7hbjs,193.527,196.83,3.303,72,29.97,626.0,360.0,"[0.15374818444252014, 0.21153783798217773, 1.0, 0.6400723457336426]"
train,0,hello,https://www.youtube.com/watch?v=yG09SQB0Hds,18.018,18.986,0.968,160,29.97,640.0,360.0,"[0.001496344804763794, 0.26254576444625854, 0.9950147867202759, 0.8114458322525024]"
train,0,hello,https://www.youtube.com/watch?v=yG09SQB0Hds,62.529,63.497,0.968,160,29.97,640.0,360.0,"[0.0, 0.1365172266960144, 0.9983950257301331, 0.748790442943573]"
train,1,how,https://www.youtube.com/watch?v=R_ES8RZua1g,50.233,52.2,1.967,40,30.0,568.0,320.0,"[0.029448628425598145, 0.3037278652191162, 0.9977914094924927, 0.8024402260780334]"
train,1,how,https://www.youtube.com/watch?v=R_ES8RZua1g,52.7,54.333,1.633,40,30.0,568.0,320.0,"[0.02720227837562561, 0.2908133566379547, 0.9930447340011597, 0.8072625398635864]"
train,3,you,www.youtube.com/watch?v=3TH0mPZ3gbE,0.0,2.069,2.069,139,29.97,640.0,360.0,"[0.03627657890319824, 0.4796309769153595, 1.0, 0.8986842036247253]"
train,4,today,https://www.youtube.com/watch?v=amWUHjchp8s,68.0,71.767,3.767,41,30.0,202.0,360.0,"[0.2580185532569885, 0.0, 1.0, 1.0]"
train,4,today,https://www.youtube.com/watch?v=TDoqoJDX280,117.918,123.223,5.305,124,29.97,640.0,360.0,"[0.03498029708862305, 0.16487687826156616, 1.0, 0.844969630241394]"
train,3,you,https://www.youtube.com/watch?v=UoITyyziLOw,32.733,34.334,1.601,160,29.97,640.0,360.0,"[0.0, 0.2832665741443634, 1.0, 0.8169758319854736]"
train,2,how_are_you,https://www.youtube.com/watch?v=q_p38s5JsXo,127.8,131.72,3.92,12,25.0,1280.0,720.0,"[0.15436646342277527, 0.2825108468532562, 1.0, 0.7546719312667847]"
train,3,you,https://www.youtube.com/watch?v=nvaS2J5mcEk,141.975,144.945,2.97,417,29.97,202.0,360.0,"[0.1855202615261078, 0.0, 0.8191895484924316, 1.0]"
train,4,today,https://www.youtube.com/watch?v=nvaS2J5mcEk,353.987,354.954,0.967,417,29.97,202.0,360.0,"[0.2013671100139618, 0.0, 0.8046272993087769, 0.9943451285362244]"
train,3,you,https://www.youtube.com/watch?v=nvaS2J5mcEk,385.985,388.955,2.97,417,29.97,202.0,360.0,"[0.18975889682769775, 0.0, 0.814588189125061, 0.9979135990142822]"
train,2,how_are_you,https://www.youtube.com/watch?v=nvaS2J5mcEk,389.989,393.026,3.037,417,29.97,202.0,360.0,"[0.1810014545917511, 0.0, 0.8440227508544922, 1.0]"
train,1,how,https://www.youtube.com/watch?v=iZeLCvBD2NQ,0.0,1.8,1.8,0,30.0,320.0,240.0,"[0.05007752776145935, 0.21260857582092285, 0.9980695247650146, 0.8804740905761719]"
train,4,today,https://www.youtube.com/watch?v=vkjQHTjhcD4,118.986,121.521,2.535,328,29.97,640.0,360.0,"[0.08437347412109375, 0.1756591796875, 0.9981868267059326, 0.8529539108276367]"
train,3,you,https://www.youtube.com/watch?v=ZMCVDsa9STI,0.0,3.033,3.033,62,30.0,640.0,360.0,"[0.0, 0.08254823088645935, 1.0, 0.8231988549232483]"
train,1,how,https://www.youtube.com/watch?v=a6O9GUBpc3c,310.933,313.933,3.0,172,30.0,640.0,360.0,"[0.10509306192398071, 0.1592879593372345, 1.0, 0.9467137455940247]"
train,4,today,https://www.youtube.com/watch?v=zh0Q5PYPoas,0.0,2.464,2.464,2,29.622,640.0,360.0,"[0.0, 0.0, 1.0, 0.8556264042854309]"
train,4,today,https://www.youtube.com/watch?v=zh0Q5PYPoas,3.916,6.819,2.903,2,29.622,640.0,360.0,"[0.0, 0.0, 1.0, 0.8556264042854309]"
train,4,today,https://www.youtube.com/watch?v=zh0Q5PYPoas,6.819,8.845,2.026,2,29.622,640.0,360.0,"[0.0, 0.0, 1.0, 0.8556264042854309]"
train,2,how_are_you,https://www.youtube.com/watch?v=nb3eU9fpdMc,0.0,5.72,5.72,14,25.0,640.0,360.0,"[0.07800483703613281, 0.387035071849823, 1.0, 0.804673969745636]"
train,3,you,https://www.youtube.com/watch?v=fNg_sJ9f8EI,13.046,15.716,2.67,32,29.97,640.0,360.0,"[0.02041187882423401, 0.23619934916496277, 1.0, 0.7502369284629822]"
val,1,how,https://www.youtube.com/watch?v=CxTSVyM-ij0,393.66,397.664,4.004,80,29.97,640.0,360.0,"[0.06733331084251404, 0.2634381055831909, 1.0, 0.6793814897537231]"
